corp_code,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
01221752,(주)지에프씨생명과학,"GFC Life Science Co., Ltd.",지에프씨생명과학,388610,강희철 / 표형배,N,1101112548993,2118716248,"경기도 화성시 동탄순환대로 823 17층 (영천동, 에이팩시티)",www.gfcos.co.kr/,,031-5183-5557,031-5183-5519,20495,20020618,12
01671601,(주)카이바이오텍,"KaiBioTech Co., Ltd",카이바이오텍,446600,김영덕,N,2101110087512,4188142520,전라북도 전주시 덕진구 백제대로567(금암동),www.kaibiotech.com/,,063-219-5510,0632195512,21210,20121218,12
00232007,(주)상지카일룸,"Sangji Caelum, Inc.",상지카일룸,042940,김영신,K,1311110004554,1298104500,"서울특별시 강남구 영동대로 741 9층(청담동, 은성빌딩)",www.sangji.co.kr/,www.sangji.co.kr,02-517-5174,070-4850-8065,411,19790621,12
01507810,애니메디솔루션(주),anymedi Inc.,애니메디솔루션,390110,김국배,N,1101116259174,8768800652,"서울특별시 송파구 올림픽로35길 137, 12층 4호",www.anymedi.com/,,02-6951-1311,02-6951-1322,27199,20161214,12
01206717,(주)마이크로엔엑스,"Micro-NX Co., Ltd.",마이크로엔엑스,448780,이종건/정재경,N,1701110200585,5038150935,대구광역시 동구 매여로1길 22,www.micronx.co.kr,,053-650-1000,053-650-1001,27191,20010705,12
00104999,(주)윌비스,"THE WILLBES & CO.,LTD",윌비스,008600,"임찬혁(대표집행임원), 송주호(대표집행임원)",Y,1101110172447,1208114772,충청남도 천안시 동남구  만남로 76,www.willbes.com,,041-529-5716,041)552-5503,46413,19730309,12
00181943,(주)에스제이엠홀딩스,"SJM HOLDINGS CO.,LTD",에스제이엠홀딩스,025530,"김용호, 김휘중(각자대표이사)",Y,1301110008862,1348102386,경기도 안산시 단원구 별망로459번길 20,www.sjmholdings.co.kr,,031-491-4151,031-491-3799,452,19750331,12
01413371,에이치엘비사이언스(주),HLB SCIENCE Inc.,HLB사이언스,343090,"박영민, 윤종선(각자대표)",N,1101116042363,6778800337,서울특별시 성동구 아차산로 66 6층(성수동2가),www.hlbscience.com,,02-6925-0379,070-8280-0378,213,20160425,12
00815369,(주)에스제이엠,"SJM CO.,LTD",에스제이엠,123700,김휘중 (단독 대표이사),Y,1314110241465,1348666202,경기도 안산시 단원구  별망로459번길 20 (주)에스제이엠,-,,031-490-3838,031-491-3799,303,20100504,12
00160047,한국앤컴퍼니(주),"HANKOOK & COMPANY CO., LTD.",한국앤컴퍼니,000240,"조현범, 안종선(각자 대표이사)",Y,1101110034233,2208102784,경기도 성남시 분당구 판교로 286 -,http://www.hankook-technologygroup.com,,031-5178-7000,02-2222-1746,64992,19410510,12
00681249,(주)씨유메디칼시스템,CU MEDICAL SYSTEMS Inc.,씨유메디칼,115480,김형수,K,1412110022619,2248124096,강원도 원주시  문막읍 동화공단로 130-1,www.cu911.com,www.cu911.com,033-747-7657,031-421-9911,27112,20011213,12
01089378,(주)디와이디,"DYD Co.,LTD.",디와이디,219550,정창래,K,1101115703594,5958100040,"경기도 고양시 덕양구 동송로 30 18층(동산동, 삼송더샵미디어시티 제엠비엔스튜디오동)",www.jaanhcosmetics.com/,,070-4047-5284,02-814-4630,464,20150422,12
00606664,(주)케이엔더블유,"KNW Co., Ltd.",케이엔더블유,105330,오원석,K,1311110056480,1298139315,경기도 파주시  문산읍 돈유3로 51 (주)케이엔더블유,www.knwkorea.com,,031-950-0200,031-950-0243,262,20010112,12
01290132,주식회사 에이아이더뉴트리진,AItheNutriGene Co.,에이아이더뉴트리진,311960,김종철,N,1101114969006,2648104609,"경기도 성남시 수정구 창업로 42 630호(시흥동, 판교제2테크노밸리경기기업성장센터)",aithenutrigene.com,,16665950,031-715-5952,107,20120926,12
01237434,(주)플리토,Flitto Inc.,플리토,300080,이정수,K,1101114945246,2158772878,서울특별시 강남구 테헤란로 211 한국고등교육재단빌딩 9층,www.flitto.com,www.flitto.com/ir/notices,02-512-0142,070-8244-0142,63120,20120824,12
01336160,주식회사 쓰리디팩토리,"3D Factory Co., Ltd.",쓰리디팩토리,,안상현,E,1101113978165,2118818883,"서울특별시 마포구 월드컵북로58길 10 (상암동, 팬엔터테인먼트사옥)",www.3df.co.kr,,02-303-4391,02-303-4392,582,20081007,12
00599489,청광건설(주),"CHUNGKWANG CONSTRUCTION CO., LtD.",청광건설,140290,허숭,N,1101113564401,2148799122,서울특별시 강남구  언주로 550,www.chungkwang.co.kr,,02-3461-6393,02-3461-6396,412,20061120,12
00860332,(주)메리츠금융지주,MERITZ FINANCIAL GROUP INC.,메리츠금융지주,138040,김용범,Y,1101114566406,2208814824,서울특별시 강남구  강남대로 382,www.meritzgroup.com,,02-2018-6824,02-2018-6899,64992,20110328,12
00117744,메리츠화재해상보험(주),"Meritz Fire & Marine Insurance CO., Ltd",메리츠화재,000060,김용범,Y,1101110013328,1168103752,서울특별시 강남구  강남대로 382 메리츠타워,www.meritzfire.com,,02-1566-7711,3786-2115,65121,19221001,12
01144569,명성티엔에스(주),"Mstns Co.,Ltd.",명성티엔에스,257370,김준섭,K,1701110207177,5148142148,대구광역시 달서구 성서공단로25길 16,www.ms-mc.co.kr,,053-582-3577,053-583-3818,292,20011015,12
00913689,(주)세경하이테크,"Se Gyung Hi Tech Co., Ltd.",세경하이테크,148150,이영민,K,1345110097540,1358183418,경기도 수원시 권선구 산업로155번길 128,www.sghitech.co.kr/,,031-204-7200,031-205-1284,2629,20060116,12
00762377,(주)씨앗,"CIAAT Co., Ltd.",씨앗,103660,김환기,N,1101113438507,1198188916,광주광역시 광산구 평동산단로169번길 40(월전동),www.ciaat.net,,062-940-7200,062-940-7298,204,20060412,12
00549563,주식회사 지엔티파마,GNT PHARMA,지엔티파마,,곽 병주,E,1101111531303,1248158170,경기도 용인시 기흥구 용구대로1855번길 23 GNT B/D(하갈동),gntpharma.com,http://gntpharma.com,031-8005-9910,031-8005-9917,70113,19980403,12
00352718,(주)소리바다,SORIBADA INC.,소리바다,053110,"신종태, 오재명",E,1712110017953,5058115915,"서울특별시 강남구 도산대로 217 3층(신사동, 강남빌딩)",www.soribada.com/corp,,02-562-7188,02-562-7226,631,19980813,12
00399694,(주)아프리카티비,"AfreecaTV Co., Ltd.",아프리카TV,067160,Jung Chan Yong,K,1101111263203,2208110886,"경기도 성남시 분당구  판교로228번길 15 판교7벤처밸리3 1단지 2동 201, 901호",corp.afreecatv.com,corp.afreecatv.com/ir.php,031-622-8380,031-622-8010,582,19960422,12
00143651,(주)웅진,"WOONGJIN CO., LTD.",웅진,016880,이수영,Y,1101110346745,2088106344,서울특별시 중구 청계천로 24 케이스퀘어 시티,www.woongjin.com,,02-2076-4701,02-2076-9910,715,19830321,12
00416414,(주)넥스턴바이오사이언스,"NEXTURNBIOSCIENCE Co., LTD",넥스턴바이오,089140,이정찬,K,1345110042264,1358139760,경기도 용인시 기흥구 기흥단지로121번길 35 (고매동),www.nexturn.co.kr,,031-288-2088,031-288-2190,292,20000718,12
