corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01221752,지에프씨생명과학,388610,N,사업보고서 (2021.12),20221228000310,지에프씨생명과학,20221228,
01671601,카이바이오텍,446600,N,사업보고서 (2021.12),20221227000571,카이바이오텍,20221227,
00232007,상지카일룸,042940,K,[기재정정]사업보고서 (2021.12),20221226000445,상지카일룸,20221226,연
01507810,애니메디솔루션,390110,N,사업보고서 (2021.12),20221226000436,애니메디솔루션,20221226,
01206717,마이크로엔엑스,448780,N,사업보고서 (2021.12),20221226000392,마이크로엔엑스,20221226,연
00104999,윌비스,008600,Y,[기재정정]사업보고서 (2021.12),20221226000298,윌비스,20221226,연
00181943,에스제이엠홀딩스,025530,Y,[기재정정]사업보고서 (2021.12),20221223000367,에스제이엠홀딩스,20221223,연
01413371,HLB사이언스,343090,N,[기재정정]사업보고서 (2021.12),20221223000328,HLB사이언스,20221223,
00815369,에스제이엠,123700,Y,[기재정정]사업보고서 (2021.12),20221223000261,에스제이엠,20221223,연
00160047,한국앤컴퍼니,000240,Y,[기재정정]사업보고서 (2021.12),20221215000241,한국앤컴퍼니,20221215,연
00681249,씨유메디칼,115480,K,[기재정정]사업보고서 (2021.12),20221214000353,씨유메디칼,20221214,연
01089378,디와이디,219550,K,[기재정정]사업보고서 (2021.12),20221209000540,디와이디,20221209,
00606664,케이엔더블유,105330,K,[기재정정]사업보고서 (2021.12),20221209000296,케이엔더블유,20221209,연
01290132,에이아이더뉴트리진,311960,N,사업보고서 (2021.12),20221205000209,에이아이더뉴트리진,20221205,연
01237434,플리토,300080,K,[기재정정]사업보고서 (2021.12),20221202000643,플리토,20221202,연
01336160,쓰리디팩토리,,E,[기재정정]사업보고서 (2021.12),20221202000368,쓰리디팩토리,20221202,연
00599489,청광건설,140290,N,[기재정정]사업보고서 (2021.12),20221202000219,청광건설,20221202,
01336160,쓰리디팩토리,,E,[기재정정]사업보고서 (2021.12),20221201000436,쓰리디팩토리,20221202,정연
00860332,메리츠금융지주,138040,Y,[기재정정]사업보고서 (2021.12),20221130001331,메리츠금융지주,20221130,연
00117744,메리츠화재,000060,Y,[기재정정]사업보고서 (2021.12),20221130001307,메리츠화재,20221130,연
01144569,명성티엔에스,257370,K,[기재정정]사업보고서 (2021.12),20221121000311,명성티엔에스,20221122,
01144569,명성티엔에스,257370,K,[기재정정]사업보고서 (2021.12),20221121000297,명성티엔에스,20221121,정
00913689,세경하이테크,148150,K,[기재정정]사업보고서 (2021.12),20221118000535,세경하이테크,20221118,연
00762377,씨앗,103660,N,[기재정정]사업보고서 (2021.12),20221116000091,씨앗,20221116,연
00549563,지엔티파마,,E,사업보고서 (2021.12),20221114002645,지엔티파마,20221114,
00352718,소리바다,053110,E,[기재정정]사업보고서 (2021.12),20221114002412,소리바다,20221114,연
00399694,아프리카TV,067160,K,[기재정정]사업보고서 (2021.12),20221114001450,아프리카TV,20221114,연
00143651,웅진,016880,Y,[기재정정]사업보고서 (2021.12),20221114001388,웅진,20221114,연
00416414,넥스턴바이오,089140,K,[기재정정]사업보고서 (2021.12),20221114000747,넥스턴바이오,20221114,연
00173102,모나리자,012690,Y,[기재정정]사업보고서 (2021.12),20221114000745,모나리자,20221114,
00155319,POSCO홀딩스,005490,Y,[기재정정]사업보고서 (2021.12),20221114000599,POSCO홀딩스,20221114,연
01095704,케이엠제약,225430,K,[기재정정]사업보고서 (2021.12),20221114000503,케이엠제약,20221114,
00527464,에이치시티,072990,K,[기재정정]사업보고서 (2021.12),20221114000452,에이치시티,20221114,연
01251489,라온피플,300120,K,[기재정정]사업보고서 (2021.12),20221110000570,라온피플,20221110,연
